,text_unique,count_text,lat,lon
346,papier,3,-47.825,-14.588
347,ließ,2,-48.00899999999999,-13.968
348,bißchen,1,-48.18600000000001,-13.345999999999998
349,sehen,2,-48.354,-12.722000000000001
350,mehr,1,-48.515,-12.095999999999998
351,wauwau,2,-48.667,-11.468
352,antwortete,1,-48.81100000000001,-10.838
353,bahnfahrt,1,-48.946999999999996,-10.206
354,siehe,1,-49.075,-9.572000000000001
355,dicke,1,-49.195,-8.937000000000001
356,brummige,1,-49.306000000000004,-8.3
357,ecke,1,-49.409,-7.662000000000001
358,rechter,1,-49.504,-7.023
359,großvater,1,-49.591,-6.382000000000001
360,zog,3,-49.669,-5.74
361,leeren,1,-49.739,-5.098
362,bank,1,-49.801,-4.454
363,schwanz,1,-49.855,-3.81
364,zurück,1,-49.9,-3.165
365,jauchzte,1,-49.93600000000001,-2.52
366,manchmal,1,-49.965,-1.874
367,ging,4,-49.985,-1.228
368,sorgenwolke,1,-49.997,-0.5820000000000001
369,herz,1,-50.0,0.065
370,fahren,2,-49.995,0.711
371,fragte,1,-49.982,1.357
372,kindes,1,-49.96,2.003
373,bis,2,-49.93,2.6489999999999996
374,neubentschen,1,-49.891000000000005,3.2939999999999996
375,oh,1,-49.845,3.9389999999999996
376,früher,1,-49.79,4.583
377,raus,2,-49.726000000000006,5.226
378,ihr,1,-49.653999999999996,5.869
379,ja,4,-49.574,6.51
380,dahin,1,-49.486000000000004,7.151
381,überhaben,1,-49.388999999999996,7.79
382,weiß,1,-49.285,8.427999999999999
383,frau,1,-49.172,9.064
384,wenn,3,-49.05,9.699
385,liebt,4,-48.92100000000001,10.332
386,richtig,2,-48.783,10.964
387,na,1,-48.637,11.594000000000001
388,wir,1,-48.483000000000004,12.220999999999998
389,nachdenklich,1,-48.321000000000005,12.847000000000001
390,bellen,1,-48.151,13.470999999999998
391,kramte,1,-47.973,14.092
392,vor,1,-47.787,14.710999999999999
393,bindfaden,1,-47.593,15.328
394,paß,1,-47.39,15.942
395,geht,1,-47.18,16.553
396,aufmerksam,1,-46.961999999999996,17.162
397,verschwand,1,-46.736999999999995,17.767
398,fing,1,-46.503,18.37
399,hoppäpoppä,1,-46.262,18.97
400,klagend,1,-46.013000000000005,19.566
401,redeten,1,-45.756,20.16
402,weinte,2,-45.49100000000001,20.749000000000002
403,stärker,1,-45.218999999999994,21.336
404,brauche,1,-44.94,21.919
405,eingepackt,1,-44.653,22.498
406,mitzunehmen,1,-44.358000000000004,23.073
407,kann,1,-44.056000000000004,23.645
408,halten,1,-43.747,24.212
409,arm,1,-43.43,24.776
410,lächelte,2,-43.106,25.335
411,ähnliches,1,-42.775,25.89
412,langsamer,1,-42.437,26.441
413,gib,2,-42.091,26.988000000000003
414,onkel,1,-41.739,27.529
415,fest,1,-41.379,28.066999999999997
416,willst,1,-41.013000000000005,28.599
417,artig,1,-40.64,29.127
418,gibst,1,-40.26,29.65
419,aussteigen,1,-39.873000000000005,30.168000000000003
420,sollst,1,-39.48,30.680999999999997
421,loslassen,1,-39.08,31.189
422,mir,1,-38.674,31.691999999999997
423,jungen,1,-38.260999999999996,32.189
424,wollen,1,-37.841,32.681
425,beeilen,1,-37.416,33.167
426,durcheinander,1,-36.984,33.648
427,schmerzlich,1,-36.546,34.124
428,schaffner,1,-36.101,34.593
429,schimpfte,1,-35.650999999999996,35.056999999999995
430,riß,2,-35.195,35.515
431,klammernden,1,-34.733000000000004,35.967
432,kinderhand,1,-34.265,36.413000000000004
433,lauter,1,-33.791,36.853
434,draußen,1,-33.312,37.287
435,seinem,1,-32.827,37.714
436,dachte,1,-32.336999999999996,38.135999999999996
437,verwirrt,1,-31.840999999999998,38.55
438,warf,1,-31.34,38.959
439,schneller,1,-30.834,39.361
440,fenster,1,-30.323,39.756
441,waren,1,-29.805999999999997,40.145
442,dunklen,1,-29.285,40.527
443,haus,2,-28.758000000000003,40.902
444,eilig,1,-28.226999999999997,41.27
445,ankommen,1,-27.691,41.632
446,würde,3,-27.151,41.986000000000004
447,grade,1,-26.605999999999998,42.333999999999996
448,gebracht,1,-26.055999999999997,42.674
449,sehnsüchtig,1,-25.502,43.007
450,betteln,1,-24.944000000000003,43.333999999999996
451,bereute,1,-24.381999999999998,43.652
452,schalt,1,-23.815,43.964
453,traurig,1,-23.245,44.268
454,irgend,2,-22.671,44.565
455,ordnung,2,-22.093000000000004,44.854
456,stimmte,1,-21.511,45.136
457,geben,1,-20.926,45.411
458,andere,1,-20.337,45.677
459,weint,1,-19.745,45.93600000000001
460,schloß,1,-19.149,46.188
461,oben,1,-18.55,46.431000000000004
462,krähte,1,-17.949,46.667
463,leise,2,-17.344,46.896
464,hinauf,1,-16.736,47.11600000000001
465,hing,1,-16.125999999999998,47.328
466,mantel,1,-15.512,47.533
467,fort,1,-14.897,47.729
468,hausschuhe,1,-14.277999999999999,47.918
469,aufmachen,1,-13.658,48.099
470,aß,1,-13.035,48.271
471,tischchen,2,-12.409,48.43600000000001
472,haferbrei,1,-11.782,48.592
473,langen,2,-11.152999999999999,48.74
474,zettel,2,-10.522,48.88
475,hals,1,-9.889,49.012
476,sieh,1,-9.255,49.136
477,bahnamtliche,1,-8.619,49.251999999999995
478,vermerke,1,-7.981,49.358999999999995
479,zbaszyn,1,-7.343,49.458
480,bentschen,1,-6.702999999999999,49.549
481,schwazze,2,-6.061,49.631
482,särr,2,-5.419,49.705
483,biese,2,-4.776,49.771
484,beißt,1,-4.132,49.82899999999999
485,komisch,1,-3.488,49.878
